Time,MarkerID,Error,PID_Out(step_deg),Note
1754648556.791313,?,0.09297,0.29304539868430535,tracking
1754648556.8229034,?,0.09297,0.37188,tracking
1754648556.8545723,?,0.08984000000000003,0.21110730457957397,tracking
1754648556.8843615,?,0.08984000000000003,0.3593600000000001,tracking
1754648556.9157627,?,0.08828000000000003,0.2786004537378705,tracking
1754648556.946901,?,0.08828000000000003,0.3531200000000001,tracking
1754648556.9792342,?,0.08516000000000001,0.19589684680898084,tracking
1754648557.009923,?,0.08516000000000001,0.34064000000000005,tracking
1754648557.0411737,?,0.08281000000000005,0.21844258172802028,tracking
1754648557.0718029,?,0.08281000000000005,0.3312400000000002,tracking
1754648557.103167,?,0.07969000000000004,0.1695453021261712,tracking
1754648557.1378512,?,0.07969000000000004,0.31876000000000015,tracking
1754648557.1646552,?,0.07891000000000004,0.2719897502312673,tracking
1754648557.1961675,?,0.07891000000000004,0.31564000000000014,tracking
1754648557.2272882,?,0.07655999999999996,0.19297162031716475,tracking
1754648557.2583597,?,0.07655999999999996,0.30623999999999985,tracking
1754648557.2897723,?,0.07499999999999996,0.22550760234983333,tracking
1754648557.3211653,?,0.07499999999999996,0.2999999999999998,tracking
1754648557.352622,?,0.07186999999999999,0.13822725987009304,tracking
1754648557.3838646,?,0.07186999999999999,0.28747999999999996,tracking
1754648557.414794,?,0.07030999999999998,0.20558364966429468,tracking
1754648557.4471345,?,0.07030999999999998,0.28123999999999993,tracking
1754648557.4764538,?,0.06874999999999998,0.19518905329581823,tracking
1754648557.5083723,?,0.06718999999999997,0.1954483432430006,tracking
1754648557.5430968,?,0.06718999999999997,0.2687599999999999,tracking
1754648557.570957,?,0.06562999999999997,0.17852911085628176,tracking
1754648557.6022422,?,0.06562999999999997,0.26251999999999986,tracking
1754648557.6332288,?,0.06484000000000001,0.2211175981595349,tracking
1754648557.6633902,?,0.06484000000000001,0.25936000000000003,tracking
1754648557.695116,?,0.06328,0.17936318874560347,tracking
1754648557.7260418,?,0.06328,0.25312,tracking
1754648557.7573278,?,0.060939999999999994,0.13156924807388903,tracking
1754648557.7897508,?,0.059370000000000034,0.16484641920113147,tracking
1754648557.8211877,?,0.059370000000000034,0.23748000000000014,tracking
1754648557.8534348,?,0.059370000000000034,0.23748000000000014,tracking
1754648557.8845935,?,0.05859000000000003,0.19681027752909577,tracking
